x,y
2.284,-5.0265
2.5256,-2.3394
-1.1487,-5.1588
3.7654,-3.0695
-0.80847,-5.2384
2.9436,-3.0767
-0.3773,-4.3536
5.437,-4.0467
-4.6399,-2.8927
4.2399,0.52667
3.8509,3.1841
3.9134,2.9602
3.0657,3.5946
3.9757,-1.0126
2.9524,-3.0489
5.1504,-0.13428
-2.5769,-5.3769
0.36472,-3.8283
-0.06337,-5.3238
-4.3799,-2.8747
-10.53,-4.9126
-7.3743,2.042
-3.3077,0.10657
-9.4287,-5.0734
-7.7122,-7.5513
-6.0156,1.57
-8.43,-3.9162
-7.934,0.85388
-7.9683,-6.7677
-7.7813,-5.982
-1.2622,-0.61739
-7.679,-5.6825
-6.2237,-9.1356
-8.9627,-0.5932
-7.5407,-8.2693
-7.3135,-1.9187
0.68803,-2.7736
-2.2643,-0.21859
-7.4162,-0.61101
-8.4925,-5.715
-7.7779,-6.3304
-8.6682,-5.8053
-5.2623,3.1812
-5.7012,-1.2894
-2.4373,-0.60674
-0.89064,-1.6251
-2.0741,-0.22551
-9.3686,-4.6693
-6.9001,-0.11784
-1.5135,1.6414
-7.9263,0.25844
-0.15622,-0.31955
0.97469,-2.522
-7.2522,-5.0795
-8.4446,0.90316
-5.8029,-7.5513
-8.0889,-4.6745
-5.7209,-0.33124
-7.1819,-6.5317
-6.4077,-7.4523
-5.8097,-7.3954
-0.42292,-3.2123
-8.1026,-8.7314
-9.216,-1.6461
-6.4082,-7.8896
-7.0931,-0.52374
-7.5469,0.55479
-9.2543,-4.6056
-2.7614,2.0211
-7.4199,-0.75668
-6.8643,-6.4874
-9.1091,-1.2139
-7.6419,-6.9542
-8.6145,-5.6991
-6.9328,-0.93844
-2.9249,0.78739
-8.8411,-3.0461
-1.1641,-1.244
-9.9254,-3.8671
-8.3808,-2.8146
-8.9654,-4.395
-6.9078,-5.9558
-6.8722,-7.4237
-6.6589,-4.0355
-8.0956,-2.2543
-5.8244,-8.5923
-8.4328,-2.7507
0.56911,-1.035
0.17444,2.8521
-7.2078,-6.0042
-8.1812,-0.77636
-9.4953,-5.6067
-3.1063,-0.19143
-9.3479,-2.4341
-8.5021,-1.6732
0.18199,-2.0508
-8.8402,-1.7905
-6.3242,2.5071
1.192,-0.57866
-6.6984,0.857
