x,y
-0.85579,-6.3252
-4.1152,-3.9308
3.625,3.0201
4.9355,1.5051
4.8853,2.6816
4.1266,-3.8124
6.2154,1.0926
-5.5064,-2.2502
3.0736,2.5597
2.9179,6.0378
1.8225,-4.6096
-2.6802,-6.2505
5.6115,-0.85304
5.0586,3.2222
5.231,0.29402
5.0873,1.8881
2.5212,-3.3862
-4.1205,-2.8132
1.2709,-6.2655
2.8689,2.9325
5.017,-3.5765
5.218,3.6572
3.0354,-2.604
4.9933,-1.7551
-5.6353,0.33024
-0.78228,-4.3607
2.7599,-5.4873
-3.2489,-1.9224
3.398,4.26
5.2029,-2.3133
-3.8829,-2.9135
-3.8139,-2.505
2.6827,-4.6082
0.94605,-4.0487
4.8811,-0.95858
-1.3157,-3.0405
2.7155,3.2635
-0.046101,-5.7536
-0.033266,-3.467
-1.4663,-4.3256
4.9597,-1.1957
-0.3199,-5.7595
-2.8109,-5.3867
5.2258,-0.5314
4.2133,-4.4346
-6.7223,-1.0904
1.1558,-3.5437
5.3798,-0.055432
0.90018,-6.197
4.5626,-2.1471
-8.4848,-1.855
-1.5818,1.2906
-5.8884,-8.4472
-5.2878,-8.8436
-4.493,1.8527
-7.9292,-4.896
-6.819,-4.7945
-9.4428,-1.4894
-7.7261,-6.9985
-7.0343,-8.4118
-7.3703,-1.1536
-9.7259,-4.3568
-7.0867,-3.1793
2.4365,-1.6355
-6.7747,1.1943
-8.6479,-3.2742
-7.0607,-0.026523
-3.9476,2.0412
-6.2122,-6.6846
-7.7199,-5.4083
-8.4001,-8.7727
-5.3865,0.48415
-7.7032,-0.81216
-5.9625,-6.49
-6.2228,-7.7139
-9.9177,-2.6955
-1.5271,2.0487
-8.7602,-2.695
-0.092536,-1.3816
-6.004,0.63708
-9.5877,-3.3103
-7.1085,-6.8247
-9.0673,-5.4479
-7.4296,0.54095
-8.5091,-4.7072
-5.7938,0.36878
-6.3781,-8.0684
-6.032,-8.0572
-7.713,-8.1525
-5.0017,1.1274
-5.3231,1.2825
-2.0907,1.0306
-8.7644,-3.805
-6.9176,-6.4789
-7.3357,-7.891
-9.7762,-1.2628
-10.708,-2.0913
-2.6674,0.63617
-7.5266,-6.5269
-7.1539,0.11114
